App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
Call of Duty®: Heroes,GAME,4.4,1604146,57M,"10,000,000+",Free,0,Teen,Action,"June 27, 2018",4.8.0,4.1 and up
Call of Mini™ Dino Hunter,GAME,4.2,326042,10M,"10,000,000+",Free,0,Teen,Action,"June 6, 2014",3.1.7,3.0 and up
Call of Mini™ Zombies 2,GAME,4.4,248417,17M,"5,000,000+",Free,0,Teen,Arcade,"February 10, 2015",2.1.3,2.3.3 and up
Camping RV Caravan Parking 3D,GAME,3.3,5290,48M,"500,000+",Free,0,Everyone,Racing,"December 18, 2014",1.3,2.3 and up
Can Knockdown 3,GAME,4.1,349503,19M,"10,000,000+",Free,0,Everyone,Arcade,"August 26, 2015",1.31,4.0 and up
Candy Bomb,GAME,4.4,42145,20M,"10,000,000+",Free,0,Everyone,Casual;Brain Games,"July 4, 2018",2.9.3181,4.0.3 and up
Candy Crush Jelly Saga,GAME,4.3,1300619,78M,"50,000,000+",Free,0,Everyone,Puzzle,"July 20, 2018",2.1.10,4.0 and up
Candy Crush Saga,GAME,4.4,22430188,74M,"500,000,000+",Free,0,Everyone,Casual,"July 5, 2018",1.129.0.2,4.1 and up
Candy Crush Soda Saga,GAME,4.4,6199095,67M,"100,000,000+",Free,0,Everyone,Casual,"July 10, 2018",1.118.4,4.1 and up
Car Crash III Beam DH Real Damage Simulator 2018,GAME,3.6,151,100M,"10,000+",Free,0,Everyone,Racing,"May 20, 2018",1.03,4.1 and up
Car Driving Simulator Drift,GAME,4.4,19816,57M,"1,000,000+",Free,0,Everyone,Racing,"November 3, 2017",1.8.1,4.4 and up
Car Race by Fun Games For Free,GAME,4.3,54221,47M,"1,000,000+",Free,0,Everyone,Racing,"June 15, 2013",1.2,2.3 and up
Cardi B Piano Game,GAME,3.1,50,7.4M,"10,000+",Free,0,Everyone,Music,"November 15, 2017",2.0,4.0 and up
Cards Casino:Video Poker & BJ,GAME,4.7,325,23M,"10,000+",Free,0,Teen,Casino,"May 8, 2015",7.0,2.3.3 and up
Carnivores: Dinosaur Hunter,GAME,4.2,62636,17M,"1,000,000+",Free,0,Teen,Action,"July 2, 2018",1.8.0,4.0.3 and up
Carros Rebaixados BR,GAME,4.3,20691,89M,"1,000,000+",Free,0,Everyone,Racing,"July 31, 2018",5.7.1,4.4 and up
Cartoon Wars: Blade,GAME,4.4,165656,38M,"5,000,000+",Free,0,Teen,Arcade,"February 7, 2018",1.1.0,2.3 and up
"Cash, Inc. Money Clicker Game & Business Adventure",GAME,4.8,549720,85M,"10,000,000+",Free,0,Everyone,Simulation,"July 19, 2018",2.1.1.4.0,4.4 and up
Casino X - Free Online Slots,GAME,4.5,30515,Varies with device,"1,000,000+",Free,0,Teen,Casino,"May 22, 2018",2.92,4.0 and up
Castle Clash: Heroes of the Empire US,GAME,4.6,4578476,24M,"50,000,000+",Free,0,Everyone 10+,Strategy,"July 17, 2018",1.4.51,4.1 and up
Chapters: Interactive Stories,GAME,4.5,73539,96M,"1,000,000+",Free,0,Mature 17+,Role Playing,"August 2, 2018",1.3.3,4.3 and up
Cheating Tom 3 - Genius School,GAME,4.3,90415,84M,"10,000,000+",Free,0,Everyone,Arcade,"July 24, 2018",1.0.20,4.1 and up
Checkers,GAME,4.5,375996,3.3M,"10,000,000+",Free,0,Everyone,Board,"August 6, 2018",1.48.0,4.1 and up
Chess Free,GAME,4.5,1375988,15M,"50,000,000+",Free,0,Everyone,Board,"June 7, 2018",2.72,4.1 and up
Chicken Invaders 3,GAME,4.2,52390,20M,"5,000,000+",Free,0,Everyone,Arcade,"May 4, 2018",1.28ggl,2.3.3 and up
China Town Auto Theft 2,GAME,4.1,364,67M,"50,000+",Free,0,Everyone 10+,Action,"May 23, 2018",Varies with device,4.0.3 and up
Chinese Chess ( Xiangqi Free ),GAME,4.6,963,4.1M,"50,000+",Free,0,Everyone,Board,"April 18, 2017",1.1.1,2.3 and up
Chinese Chess / Co Tuong,GAME,4.2,6947,20M,"500,000+",Free,0,Everyone,Board,"October 25, 2017",2.7.7,2.3 and up
"Chinese Chess 3D Online (Xiangqi, 象棋, co tuong)",GAME,3.5,23,37M,"1,000+",Paid,$0.99,Everyone,Board,"December 27, 2017",2.2.1,4.1 and up
Choices: Stories You Play,GAME,4.6,807338,93M,"10,000,000+",Free,0,Teen,Simulation,"July 30, 2018",2.3.5,4.0.3 and up
Clash Royale,GAME,4.6,23136735,97M,"100,000,000+",Free,0,Everyone 10+,Strategy,"June 27, 2018",2.3.2,4.1 and up
Clash of Axe: Flippy Lumberjack Action X,GAME,4.3,6,61M,"1,000+",Free,0,Everyone,Action,"September 14, 2017",1.2,4.0 and up
Clash of Clans,GAME,4.6,44893888,98M,"100,000,000+",Free,0,Everyone 10+,Strategy,"July 15, 2018",10.322.16,4.1 and up
Classic Words Solo,GAME,4.4,135739,Varies with device,"5,000,000+",Free,0,Everyone,Word,"August 7, 2018",Varies with device,Varies with device
Clue,GAME,4.6,19922,35M,"100,000+",Paid,$1.99,Everyone 10+,Board,"July 30, 2018",2.2.5,5.0 and up
Color Road,GAME,4.1,84911,71M,"10,000,000+",Free,0,Everyone,Arcade,"July 19, 2018",2.5.0,4.1 and up
Color by Number – New Coloring Book,GAME,4.7,142308,24M,"5,000,000+",Free,0,Everyone 10+,Board,"August 1, 2018",2.0.6,4.1 and up
Combat BF: Black Ops 3,GAME,4.2,7699,83M,"500,000+",Free,0,Mature 17+,Action,"March 2, 2017",5.1.6,2.3 and up
Combat Strike CS 🔫 Counter Terrorist Attack FPS💣,GAME,4.1,1019,39M,"100,000+",Free,0,Teen,Action,"July 23, 2018",1.0.7,4.1 and up
Commando Adventure Assassin,GAME,4.0,51067,48M,"5,000,000+",Free,0,Teen,Action,"May 29, 2018",1.18,4.1 and up
Cooking Fever,GAME,4.5,3198176,82M,"100,000,000+",Free,0,Everyone,Arcade,"July 12, 2018",2.8.0,4.0.3 and up
Cooking Madness - A Chef's Restaurant Games,GAME,4.7,358817,49M,"10,000,000+",Free,0,Everyone,Arcade,"July 30, 2018",1.2.2,4.1 and up
Cops N Robbers,GAME,4.0,37789,58M,"1,000,000+",Free,0,Teen,Adventure,"June 6, 2018",1.5.2,4.1 and up
Cops N Robbers - FPS Mini Game,GAME,4.2,156862,64M,"5,000,000+",Free,0,Everyone 10+,Action,"July 31, 2018",7.0.4,4.1 and up
Cops N Robbers 2,GAME,4.1,63680,46M,"1,000,000+",Free,0,Everyone 10+,Adventure,"June 2, 2018",2.2.2,4.1 and up
Counter Attack - Multiplayer FPS,GAME,4.3,112565,32M,"1,000,000+",Free,0,Teen,Action,"July 21, 2018",1.1.97,4.4 and up
Counter Online FPS Game,GAME,4.2,41089,42M,"5,000,000+",Free,0,Teen,Action,"July 25, 2018",2.7,4.1 and up
Counter Terrorist Attack,GAME,3.9,145931,43M,"10,000,000+",Free,0,Teen,Action,"May 31, 2018",5.3.2,2.3 and up
Counter Terrorist Gun Strike CS: Special Forces,GAME,4.2,211,44M,"10,000+",Free,0,Teen,Action,"August 18, 2017",1.1,2.3 and up
Countries of the European Union (Quiz),GAME,,11,7.0M,100+,Free,0,Everyone,Trivia,"February 3, 2018",1.3,5.0 and up
Cover Fire: offline shooting games for free,GAME,4.7,725897,31M,"10,000,000+",Free,0,Teen,Action,"August 3, 2018",1.8.20,4.1 and up
Crayola Color Blaster,GAME,3.8,17,30M,"1,000+",Free,0,Everyone,Arcade,"March 13, 2018",1.5,7.0 and up
Crazy Bike attack Racing New: motorcycle racing,GAME,4.2,20364,45M,"5,000,000+",Free,0,Everyone,Racing,"July 12, 2018",1.2.1,4.1 and up
Crazy Wheels,GAME,4.0,121082,7.0M,"10,000,000+",Free,0,Teen,Adventure,"January 17, 2018",1.0.7,2.1 and up
Creative Destruction,GAME,4.4,201426,80M,"5,000,000+",Free,0,Teen,Action,"August 2, 2018",1.0.6,4.0 and up
Crime Wars S. Andreas,GAME,4.3,5785,93M,"500,000+",Free,0,Teen,Racing,"April 12, 2017",1.2,2.3 and up
Crisis Action: 2018 NO.1 FPS,GAME,4.3,807226,34M,"10,000,000+",Free,0,Teen,Action,"July 11, 2018",3.0.2,4.0.3 and up
Critical Ops,GAME,4.4,1397944,50M,"10,000,000+",Free,0,Teen,Action,"July 31, 2018",0.9.10.f96,4.4 and up
Critical Strike CS: Counter Terrorist Online FPS,GAME,4.3,22773,Varies with device,"1,000,000+",Free,0,Mature 17+,Action,"August 3, 2018",4.84,4.1 and up
CrossFire: Legends,GAME,4.3,144040,29M,"5,000,000+",Free,0,Teen,Action,"July 25, 2018",1.0.9.10,4.0 and up
Crossy Road,GAME,4.5,4229977,60M,"100,000,000+",Free,0,Everyone,Action,"August 1, 2018",3.1.0,5.0 and up
Cube Z (Pixel Zombies),GAME,4.2,41444,56M,"1,000,000+",Free,0,Teen,Action,"July 31, 2016",1.0.11,4.0.3 and up
Cut the Rope FULL FREE,GAME,4.4,2123793,49M,"100,000,000+",Free,0,Everyone,Puzzle,"July 5, 2018",3.7.2,4.1 and up
Cyborg AX-001,GAME,,0,Varies with device,50+,Free,0,Everyone 10+,Action,"June 25, 2018",Varies with device,Varies with device
Cytus,GAME,4.7,541732,20M,"5,000,000+",Free,0,Everyone,Music,"February 9, 2018",10.0.10,2.3 and up
Cytus II,GAME,4.7,16851,81M,"100,000+",Paid,$1.99,Everyone 10+,Music,"August 3, 2018",1.5.0,4.4 and up
D Day World War II Commando Survival Shooting,GAME,4.2,951,64M,"100,000+",Free,0,Teen,Action,"May 25, 2018",1.2,4.1 and up
D+H Reaction Wall,GAME,,0,Varies with device,1+,Paid,$0.99,Everyone,Arcade,"July 24, 2016",Varies with device,Varies with device
DB Ultra Saiyan Battle,GAME,4.5,33,44M,"1,000+",Free,0,Everyone 10+,Action,"July 25, 2018",1.3.7,2.3 and up
DC Super Hero Girls™,GAME,4.3,43055,95M,"5,000,000+",Free,0,Everyone,Action;Action & Adventure,"June 29, 2018",2.8.0,4.0 and up
DC Universe Quiz,GAME,4.3,11,23M,500+,Free,0,Everyone,Trivia,"May 22, 2018",3.2.7z,4.0.3 and up
DEAD TARGET: FPS Zombie Apocalypse Survival Games,GAME,4.5,1468638,Varies with device,"50,000,000+",Free,0,Mature 17+,Action,"July 23, 2018",Varies with device,Varies with device
DEER HUNTER 2018,GAME,4.3,955614,82M,"10,000,000+",Free,0,Teen,Action,"June 26, 2018",5.1.2,3.0 and up
DEER HUNTER CHALLENGE,GAME,3.7,38767,4.1M,"5,000,000+",Free,0,Everyone 10+,Action,"April 11, 2011",1.4.3,2.0 and up
DEER HUNTER CLASSIC,GAME,4.4,3941129,77M,"50,000,000+",Free,0,Teen,Action,"July 16, 2018",3.12.0,3.0 and up
DEER HUNTER RELOADED,GAME,4.3,314774,43M,"5,000,000+",Free,0,Teen,Action,"September 16, 2013",3.8.2,2.1 and up
DF Squid,GAME,,1,14M,100+,Free,0,Everyone,Board,"December 12, 2013",1.0,2.3 and up
DG Mobile,GAME,4.3,59,1.4M,"1,000+",Free,0,Everyone,Board,"April 8, 2017",0.1.10.0,2.3 and up
DH Pineapple Poker OFC,GAME,4.2,1878,20M,"100,000+",Free,0,Teen,Casino,"November 9, 2017",1.0.13,3.0 and up
DH Texas Poker - Texas Hold'em,GAME,4.4,562345,Varies with device,"10,000,000+",Free,0,Teen,Casino,"July 23, 2018",Varies with device,Varies with device
DINO HUNTER: DEADLY SHORES,GAME,4.4,1381624,54M,"10,000,000+",Free,0,Teen,Action,"March 14, 2017",3.1.1,3.0 and up
DJMAX TECHNIKA Q - Music Game,GAME,4.3,21107,95M,"100,000+",Free,0,Everyone,Music,"July 30, 2018",1.2.1,4.0.3 and up
DK Quiz,GAME,4.4,1628,34M,"50,000+",Free,0,Everyone,Trivia,"April 10, 2014",1.3,2.3 and up
DM Adventure,GAME,,0,11M,10+,Free,0,Everyone,Adventure,"June 18, 2018",1.0.4,2.3 and up
DM EVOLUTION,GAME,2.5,450,97M,"10,000+",Free,0,Everyone,Card,"July 23, 2018",2.0.9,4.1 and up
DRAGON BALL LEGENDS,GAME,4.6,338742,48M,"5,000,000+",Free,0,Teen,Action,"August 3, 2018",1.11.0,6.0 and up
DRAGON BALL Z DOKKAN BATTLE,GAME,4.1,650114,80M,"10,000,000+",Free,0,Teen,Action,"July 3, 2018",3.11.0,4.0.3 and up
DS Tower Defence,GAME,3.2,768,1.4M,"100,000+",Free,0,Everyone,Arcade,"June 5, 2013",1.0,1.5 and up
DZ-JOKER,GAME,,6,18M,100+,Free,0,Everyone,Arcade,"May 4, 2017",1.0,2.3 and up
Dan the Man: Action Platformer,GAME,4.8,528550,73M,"10,000,000+",Free,0,Teen,Arcade,"July 26, 2018",1.2.6,4.1 and up
Dash Quest Heroes,GAME,4.3,8432,59M,"500,000+",Free,0,Everyone 10+,Adventure,"July 16, 2018",1.4.0,4.1 and up
Dead Target Zombie Shooting US Sniper Killer Squad,GAME,4.3,240,65M,"50,000+",Free,0,Teen,Action,"October 3, 2017",1.0.2,4.0 and up
Dead Zombie Evil Killer:Axe,GAME,3.9,71,52M,"10,000+",Free,0,Teen,Action,"December 1, 2016",1.1,2.3 and up
Decay: The Mare - Ep.1 (Trial),GAME,3.6,5291,7.2M,"100,000+",Free,0,Teen,Adventure,"May 24, 2014",2.0,2.2 and up
Deck Heroes: Legacy,GAME,4.7,466495,52M,"10,000,000+",Free,0,Teen,Card,"July 16, 2018",11.7.5,2.3.3 and up
Defender,GAME,4.6,152395,14M,"10,000,000+",Free,0,Everyone 10+,Action,"July 22, 2016",1.1.9,2.3 and up
Destiny Ninja Shall we date otome games love story,GAME,4.4,13079,30M,"500,000+",Free,0,Everyone 10+,Adventure,"April 20, 2018",1.6.2,4.0 and up
Destroy Gunners Σ,GAME,4.4,10786,21M,"1,000,000+",Free,0,Everyone,Arcade,"January 14, 2017",1.02,4.0.3 and up
Dino Defends king 3 – Dinosaur T rex Hunter Games,GAME,3.6,182,41M,"50,000+",Free,0,Teen,Adventure,"March 1, 2018",2.1,4.1 and up
Dino T-Rex,GAME,4.0,69115,2.4M,"10,000,000+",Free,0,Everyone,Arcade,"June 13, 2018",1.36,4.1 and up
Dino War: Rise of Beasts,GAME,4.1,18996,81M,"1,000,000+",Free,0,Teen,Strategy,"August 1, 2018",1.5.2,4.1 and up
Dinosaur Simulator: Dino World,GAME,4.0,26649,66M,"5,000,000+",Free,0,Teen,Action,"August 5, 2018",1.2,4.2 and up
Dirt Trackin Sprint Cars,GAME,3.8,499,47M,"10,000+",Paid,$3.99,Everyone,Racing,"May 10, 2018",1.0.13,5.0 and up
Disney Heroes: Battle Mode,GAME,4.6,102107,Varies with device,"5,000,000+",Free,0,Everyone 10+,Strategy,"July 31, 2018",1.2.2,Varies with device
Does not Commute,GAME,4.0,154108,78M,"5,000,000+",Free,0,Everyone,Racing,"October 13, 2015",1.4.2,2.3 and up
Dog Run - Pet Dog Simulator,GAME,4.7,48615,24M,"10,000,000+",Free,0,Everyone,Simulation;Action & Adventure,"May 22, 2018",1.4.12,4.1 and up
Don't Hug Me I'm So Scared,GAME,3.5,901,63M,"50,000+",Free,0,Everyone,Adventure,"June 8, 2018",1.8.5,2.3 and up
Don't Starve: Pocket Edition,GAME,4.4,17988,7.9M,"100,000+",Paid,$4.99,Teen,Adventure,"July 25, 2018",1.06,5.0 and up
Don't Starve: Shipwrecked,GAME,4.1,1468,4.9M,"10,000+",Paid,$4.99,Teen,Adventure,"July 10, 2018",0.16,5.0 and up
Doodle Jump,GAME,4.3,1083571,Varies with device,"50,000,000+",Free,0,Everyone,Arcade,"July 20, 2018",Varies with device,Varies with device
Dr Dre - Beatmaker,GAME,4.3,146,6.0M,"10,000+",Free,0,Mature 17+,Music,"February 28, 2018",5.3.8,4.0 and up
Dr Driving Racer,GAME,4.3,183,68M,"10,000+",Free,0,Everyone,Racing,"June 14, 2018",2.1,4.1 and up
Dr. Chess,GAME,4.1,97209,6.7M,"1,000,000+",Free,0,Everyone,Board,"January 14, 2018",1.41,4.0.3 and up
Dr. Dominoes,GAME,4.0,2700,5.7M,"500,000+",Free,0,Everyone,Board,"January 3, 2018",1.06,4.1 and up
Dr. Driving,GAME,4.5,4972230,9.9M,"100,000,000+",Free,0,Everyone,Racing,"March 2, 2018",1.52,4.0.3 and up
Dr. Driving 2,GAME,4.6,358633,19M,"10,000,000+",Free,0,Everyone,Racing,"May 3, 2018",1.32,4.0.3 and up
Dr. Gomoku,GAME,3.9,85317,4.5M,"5,000,000+",Free,0,Everyone,Board,"January 15, 2018",1.54,4.0.3 and up
Dr. Parker : Parking Simulator,GAME,4.5,14253,81M,"1,000,000+",Free,0,Everyone,Racing,"January 18, 2018",3.1,4.0 and up
Dr. Parker : Real car parking simulation,GAME,4.6,15829,95M,"1,000,000+",Free,0,Everyone,Racing,"July 24, 2018",1.29,4.0 and up
Dr. Parking 4,GAME,4.4,475369,13M,"50,000,000+",Free,0,Everyone,Racing,"March 6, 2018",1.14,4.0.3 and up
Dr. Rocket,GAME,4.0,42182,3.4M,"1,000,000+",Free,0,Everyone,Arcade,"January 6, 2018",1.11,4.1 and up
Dr. Shogi,GAME,3.3,19291,5.1M,"1,000,000+",Free,0,Everyone,Board,"January 2, 2018",1.24,4.1 and up
Dr. Splorchy Presents Space Heroes,GAME,4.6,18,31M,100+,Paid,$4.99,Mature 17+,Adventure,"July 23, 2018",1.0,7.0 and up
Dr.Slender Ep 1 Guide (Eng),GAME,4.0,454,27M,"10,000+",Free,0,Teen,Arcade,"December 2, 2014",1.0,2.3 and up
DraStic DS Emulator,GAME,4.6,87766,12M,"1,000,000+",Paid,$4.99,Everyone,Action,"July 19, 2016",r2.5.0.3a,2.3 and up
Drag'n'Boom,GAME,4.8,133180,54M,"1,000,000+",Free,0,Everyone 10+,Arcade,"January 12, 2018",1.1.1,4.4 and up
Dragon Hills,GAME,4.5,354373,66M,"10,000,000+",Free,0,Everyone 10+,Action,"October 12, 2017",1.2.7,4.1 and up
Dragon X Adventure: Warrior Z,GAME,4.3,8537,29M,"100,000+",Free,0,Everyone 10+,Action,"November 3, 2015",1.1.4,2.3 and up
Dragonplay™ Poker Texas Holdem,GAME,4.5,197979,Varies with device,"1,000,000+",Free,0,Teen,Card,"August 7, 2018",Varies with device,Varies with device
Draw A Stickman,GAME,3.4,29265,17M,"1,000,000+",Free,0,Everyone,Adventure,"May 19, 2017",1.1.0,4.0.3 and up
Draw In,GAME,4.2,46416,73M,"10,000,000+",Free,0,Everyone,Arcade,"July 23, 2018",1.0.8,4.1 and up
Draw N Guess Multiplayer,GAME,3.9,29505,69M,"1,000,000+",Free,0,Everyone,Word,"April 4, 2018",3.0.11,4.0.3 and up
Draw Something Classic,GAME,4.2,1092106,43M,"50,000,000+",Free,0,Everyone,Word,"July 28, 2018",2.400.022,4.4 and up
Draw a Stickman: EPIC 2 Free,GAME,4.3,213340,24M,"10,000,000+",Free,0,Everyone,Adventure,"June 14, 2018",1.2.1.49,4.0 and up
Draw a Stickman: EPIC Free,GAME,4.2,210317,46M,"10,000,000+",Free,0,Everyone 10+,Adventure,"April 10, 2015",1.4.3.104,2.3.3 and up
Dream League Soccer 2018,GAME,4.6,9883806,74M,"100,000,000+",Free,0,Everyone,Sports,"July 16, 2018",5.064,4.4 and up
Dreamland Arcade - Steven Universe,GAME,4.0,6386,24M,"500,000+",Free,0,Everyone,Arcade,"November 19, 2017",0.99,5.1 and up
Drift Legends,GAME,4.2,33788,27M,"1,000,000+",Free,0,Everyone,Racing,"March 29, 2018",1.8.5,4.1 and up
Drink-O-Tron The Drinking Game,GAME,4.1,140,45M,"50,000+",Free,0,Mature 17+,Card,"May 31, 2017",1.64,4.0.3 and up
Drive 4x4 Luxury SUV Jeep,GAME,4.2,2183,46M,"500,000+",Free,0,Everyone,Racing,"July 10, 2018",1.12,2.3 and up
Driving Cars Simulator Citroen,GAME,,3,49M,100+,Free,0,Everyone,Racing,"April 5, 2018",1.0,4.4 and up
Driving Zone,GAME,4.2,51791,57M,"1,000,000+",Free,0,Everyone,Racing,"June 6, 2018",1.53,4.1 and up
Dubai Racing,GAME,4.2,16237,23M,"500,000+",Free,0,Everyone,Racing,"December 23, 2015",1.9.1,2.3 and up
Dude Perfect 2,GAME,4.5,401648,70M,"10,000,000+",Free,0,Everyone,Action,"April 12, 2017",1.6.1,4.0.3 and up
Dungeon Hunter Champions: Epic Online Action RPG,GAME,4.2,26247,Varies with device,"1,000,000+",Free,0,Teen,Role Playing,"July 26, 2018",1.1.40,4.0.3 and up
E.G. Chess,GAME,4.3,56,23M,"1,000+",Paid,$0.99,Everyone,Board,"December 6, 2014",1.0.28,2.3 and up
E.G. Chess Free,GAME,4.0,505,23M,"10,000+",Free,0,Everyone,Board,"December 6, 2014",1.0.28,2.3 and up
EC Mover,GAME,5.0,5,4.6M,10+,Free,0,Everyone,Racing,"August 1, 2018",1.11,4.0.3 and up
EF Jumper,GAME,,4,5.1M,100+,Free,0,Everyone,Arcade,"July 13, 2017",Build 12,2.2 - 7.1.1
EP Gem Hunter,GAME,4.6,79,31M,"1,000+",Free,0,Everyone 10+,Action,"January 17, 2016",1.1.0,2.3 and up
ETERNITY WARRIORS 2,GAME,4.6,568391,5.2M,"5,000,000+",Free,0,Teen,Action,"July 1, 2014",4.3.1,2.1 and up
Earn to Die 2,GAME,4.6,1327269,99M,"50,000,000+",Free,0,Teen,Racing,"April 12, 2017",1.3,2.3.3 and up
Eh Amego!,GAME,3.8,13388,7.1M,"500,000+",Free,0,Everyone,Arcade,"August 24, 2015",2.0.5,2.2 and up
Elite Commando Shooting War,GAME,4.5,14,45M,100+,Free,0,Teen,Action,"June 29, 2018",1.0,4.0 and up
EmuBox - Fast Retro Emulator,GAME,3.9,1576,43M,"50,000+",Free,0,Everyone,Arcade,"August 5, 2018",2.1.1,4.1 and up
Endless Ducker,GAME,4.5,8193,41M,"500,000+",Free,0,Everyone,Arcade,"September 16, 2016",1.0.7,4.0.3 and up
Episode - Choose Your Story,GAME,4.3,1841061,Varies with device,"50,000,000+",Free,0,Teen,Simulation,"July 31, 2018",Varies with device,Varies with device
Evil Apples: A Dirty Card Game,GAME,4.3,137696,55M,"5,000,000+",Free,0,Mature 17+,Word,"July 19, 2018",2.3.3,4.2 and up
"Ew, the small alien",GAME,,5,Varies with device,10+,Free,0,Everyone,Adventure,"January 21, 2017",Varies with device,2.3 and up
Experiment Z - Zombie,GAME,4.0,229329,88M,"10,000,000+",Free,0,Mature 17+,Action,"December 4, 2017",2.14,4.1 and up
Extreme Car Driving Simulator,GAME,4.3,2251012,52M,"100,000,000+",Free,0,Everyone,Racing,"May 3, 2018",4.17.2,4.0 and up
Extreme Match,GAME,4.5,696,Varies with device,"100,000+",Free,0,Everyone,Action,"July 5, 2018",1.1.7,4.1 and up
Extreme Super Car Driving 3D,GAME,3.9,23104,48M,"1,000,000+",Free,0,Everyone,Racing,"August 5, 2015",2.2,2.3.3 and up
Extreme X Ray Robot Stunts,GAME,4.3,10806,49M,"5,000,000+",Free,0,Everyone,Racing,"May 9, 2017",1.5.1,4.0 and up
Eyes - The Scary Horror Game Adventure,GAME,4.4,499483,99M,"10,000,000+",Free,0,Teen,Adventure,"August 2, 2018",5.6.14,4.1 and up
Ez Mirror Match,GAME,4.4,3344,36M,"500,000+",Free,0,Everyone,Arcade,"January 3, 2018",2.1,4.0 and up
F*ck This Game,GAME,4.6,8,6.3M,100+,Paid,$0.99,Teen,Action,"July 18, 2015",1.0.0,2.3 and up
FG SPINNER,GAME,,2,36M,10+,Free,0,Everyone,Board,"April 6, 2018",0.90,4.0.3 and up
FINAL FANTASY BRAVE EXVIUS,GAME,4.6,745684,83M,"5,000,000+",Free,0,Teen,Role Playing,"July 17, 2018",3.0.2,4.0.3 and up
"FJ Final Join , Circles Game",GAME,4.7,32,24M,"1,000+",Free,0,Teen,Arcade,"July 11, 2018",0.24,4.3 and up
FK (FlightKid),GAME,,2,22M,10+,Free,0,Everyone,Action,"March 3, 2016",1.0,4.0 and up
FP Runner,GAME,3.7,38,29M,"1,000+",Free,0,Everyone,Arcade,"June 29, 2016",1.12,3.1 and up
FRONTLINE COMMANDO,GAME,4.4,1351833,12M,"10,000,000+",Free,0,Teen,Action,"October 28, 2013",3.0.3,2.1 and up
FRONTLINE COMMANDO: D-DAY,GAME,4.5,1736105,14M,"10,000,000+",Free,0,Mature 17+,Action,"May 16, 2014",3.0.4,2.1 and up
FaFaFa™ Gold Casino: Free slot machines,GAME,4.3,11051,44M,"1,000,000+",Free,0,Teen,Casino,"June 25, 2018",1.9.58,4.0.3 and up
Faketalk - Chatbot,GAME,4.2,63056,8.1M,"1,000,000+",Free,0,Teen,Word,"July 3, 2018",1.9.7,2.3 and up
Fallout Shelter,GAME,4.6,2719142,25M,"10,000,000+",Free,0,Teen,Simulation,"June 11, 2018",1.13.12,4.1 and up
Family Guy The Quest for Stuff,GAME,4.0,995002,Varies with device,"10,000,000+",Free,0,Mature 17+,Adventure,"July 25, 2018",1.73.0,4.1 and up
Fancy Pants Adventures,GAME,4.7,55952,61M,"1,000,000+",Free,0,Everyone 10+,Arcade,"July 13, 2017",1.0.10,4.1 and up
Farm Fruit Pop: Party Time,GAME,4.4,9305,14M,"1,000,000+",Free,0,Everyone,Casual,"August 2, 2018",1.9.2,4.0.3 and up
Farm Heroes Saga,GAME,4.4,7614407,70M,"100,000,000+",Free,0,Everyone,Casual,"July 26, 2018",5.1.8,2.3 and up
Farming Simulator 18,GAME,4.5,18125,15M,"100,000+",Paid,$4.99,Everyone,Simulation;Education,"July 9, 2018",Varies with device,4.4 and up
Fast Motorcycle Driver 2016,GAME,4.2,28151,49M,"1,000,000+",Free,0,Everyone 10+,Racing,"December 25, 2016",1.2,2.3.3 and up
Fast Racing Car Simulator,GAME,3.8,8482,45M,"1,000,000+",Free,0,Everyone,Racing,"August 10, 2015",1.3,2.3.3 and up
Fast like a Fox,GAME,4.3,104389,12M,"5,000,000+",Free,0,Everyone,Adventure,"April 17, 2018",1.4.0,4.2 and up
Fatal Raid - No.1 Mobile FPS,GAME,4.3,56496,81M,"1,000,000+",Free,0,Teen,Action,"August 7, 2018",1.5.447,4.0 and up
Fate/Grand Order (English),GAME,4.4,16601,55M,"500,000+",Free,0,Teen,Role Playing,"July 26, 2018",1.18.0,4.0 and up
Fernanfloo,GAME,4.8,526595,49M,"10,000,000+",Free,0,Everyone 10+,Arcade,"June 26, 2018",2.9,4.0.3 and up
Fidget Spinner,GAME,4.2,307398,9.9M,"10,000,000+",Free,0,Everyone,Arcade,"November 30, 2017",1.12.5.1,2.1 and up
Fields of Battle,GAME,4.1,71476,50M,"1,000,000+",Free,0,Everyone 10+,Action,"April 21, 2018",2.14,4.0 and up
Final Fantasy XV: A New Empire,GAME,4.0,484981,Varies with device,"10,000,000+",Free,0,Everyone 10+,Strategy,"June 15, 2018",3.30.4.83,4.1 and up
Fishdom,GAME,4.6,2158580,Varies with device,"10,000,000+",Free,0,Everyone,Puzzle,"July 19, 2018",2.21.5,4.0.3 and up
Five Nights at Flappy's,GAME,4.7,4041,24M,"10,000+",Free,0,Everyone,Arcade,"June 27, 2017",1.5.14,2.3.3 and up
Five Nights at Freddy's,GAME,4.6,100805,50M,"1,000,000+",Paid,$2.99,Teen,Action,"December 2, 2014",1.85,2.3 and up
Five Nights at Freddy's 3,GAME,4.7,27856,50M,"100,000+",Paid,$2.99,Teen,Action,"April 2, 2015",1.07,2.3 and up
Five Nights at Freddy's 3 Demo,GAME,4.5,1041836,50M,"10,000,000+",Free,0,Teen,Action,"April 2, 2015",1.07,2.3 and up
